No,Name,Matches,Won,Lost,Specification
1,S Iyer,6,4,2,BAT
2,S Raina,226,133,61,BAT
3,S Dhawan,110,69,36,BAT
4,M Pandey,23,16,6,BAT
5,A Rahane,90,53,31,BAT
6,A Rayudu,48,28,9,BAT
7,KL Rahul,1,10,2,BAT
8,R Sharma,188,112,68,BAT
9,V Kohli,211,127,73,BAT
10,MS Dhoni,327,188,119,WK
11,D Kartik,86,55,27,WK
12,J Yadav,1,1,0,ALL
13,H Pandya,43,29,12,ALL
14,R Jadeja,140,78,54,ALL
15,Yuvraj Singh,304,174,114,ALL
16,K Jadhav,46,36,8,ALL
17,W Sundar,1,1,0,ALL
18,R Ashwin,111,65,39,BOW
19,D Chahar,1,0,0,BOW
20,A Mishra,36,23,11,BOW
21,Kuldeep Y,5,3,1,BOW
22,M Shami,50,27,19,BOW
23,Axar Patel,39,27,9,BOW
24,S Thakur,5,4,1,BOW
25,U Yadav,73,43,26,BOW
26,J Bumrah,41,34,7,BOW
27,S Kaul,3,1,1,BOW
28,B Kumar,92,57,33,BOW
29,K Ahmed,2,1,0,BOW
30,Y Chahal,31,25,6,BOW
